,abv,adv_score,avg_rating,beer_desc,beer_name,beer_type,brewery,num_ratings,style_rank,total_rank
429,5.6%,86.0,3.86,"Brooklyn Insulated Dark Lager is your protection against biting wind and soggy weather. German Munich, roasted Carafa, and Pilsner malts create a nimble, racy body, while a helping of American black barley adds just a hint of roast coffee. A light dry hopping of American and German hops pitter-patters across the nose and dives into the dry, warming finish. Try it with dark breads, hearty meats, and sturdy cheddars. If you still feel the chill, just add another layer and enjoy your insulation.	",Insulated Dark Lager,Lager - Schwarzbier,Brooklyn Brewery,311.0,30.0,19911.0
430,5.8%,89.0,4.02,"The Duck-Rabbit Schwarzbier is a refreshing summer lager (sometimes referred to as a ""black pils""). In true Duck-Rabbit fashion, we've made ours extra schwarzy! It's very dark and quite roasty. Lots of Hallertau hops give this brew an authentic German character.	",Schwarzbier,Lager - Schwarzbier,The Duck-Rabbit Craft Brewery,347.0,8.0,6718.0
432,5.5%,80.0,3.49,,McSorley's Irish Black Lager,Lager - Schwarzbier,Pabst Brewing Company,355.0,182.0,46437.0
434,3.8%,81.0,3.59,,Krušovice Cerne,Lager - Schwarzbier,Královský Pivovar Krušovice a.s.,370.0,166.0,44127.0
435,5.1%,86.0,3.84,"Formerly known as Schwartz Bier,
,
We like this beer for lots of reasons. It’s a traditional old world beer style and it’s a lager, so it takes time to make but it also has roasted & toasted malt flavors. And while it’s light to medium in body, it’s black with a quick, crisp finish. Add in six imported malts and two European hop varieties, you’ll taste why this true to style DB favorite is an award winner!,
,
Malts: Pilsner, Carafa II Special, Dark Munich, CaraRed, Bohemian Pilsner, Melanoidin,
Hops: Northern Brewer, Saaz,
IBU: 22,
COLOR: Black	",Black Lager,Lager - Schwarzbier,Devils Backbone Brewing Company,373.0,39.0,22220.0
437,4.5%,83.0,3.65,,Ugly Pug Black Lager,Lager - Schwarzbier,Rahr & Sons Brewing Company,535.0,143.0,41723.0
438,6%,90.0,4.03,"Malts: Melanoidin, Carafe Special II, Black, Chocolate and Rogue Micro-Barley Farm first growth Risk malts.,
Hops: Rogue Micro-Hop Yard first growth Independent and Revolution.,
Yeast & Water: Oktoberfest Yeast & Free Range Coastal Water.,
,
15º PLATO,
35 IBU,
130 AA,
75º Lovibond	",Rogue Farms Dirtoir Black Lager,Lager - Schwarzbier,Rogue Ales,634.0,5.0,5897.0
440,5.1%,77.0,3.39,"A toast lager with notes of chocolate and coffee. Unlike a heavy porter or a stout it’s amazingly light, crispy, and sessionable. KCCO Black is a delicious misfit.,
,
Brewed & Bottled by Redhook Ale Brewery.	",KCCO Black Lager,Lager - Schwarzbier,Resignation Brewery,709.0,195.0,47888.0
442,4.9%,90.0,4.06,,Mönchshof Schwarzbier,Lager - Schwarzbier,Kulmbacher Brauerei AG,726.0,4.0,4780.0
444,5.4%,83.0,3.69,ABV 5.4% IBU 18	,Session Black Lager,Lager - Schwarzbier,Full Sail Brewing Company,926.0,125.0,39197.0
445,6%,91.0,4.07,Bronze Medal Winner in the European Darks category at the 1988 Great American Beer Festival (GABF).	,Black Bavarian,Lager - Schwarzbier,Sprecher Brewing Company,968.0,2.0,4366.0
446,4.6%,83.0,3.68,"Born of dark and cold and snow in the marrow of the northeast's longest night, Howl comes in on wailing winds with winter-weary eyes burning holes in sunless shadows. In its darkened depths our inner voids are warmed.,
,
32 IBU	",Howl,Lager - Schwarzbier,Magic Hat Brewing Company,984.0,130.0,39923.0
447,5.5%,84.0,3.75,"A Bavarian Black beer with distinctive caramel malt sweetness and a rich creamy trademark head. Flavorful, yet smooth…very drinkable!	",Saranac Black Forest Black Beer,Lager - Schwarzbier,Matt Brewing Company / Saranac Brewery,1168.0,79.0,33474.0
448,4%,85.0,3.77,"Robust and smooth, this full-flavored lager is exceptionally drinkable and pitch black in color.,
,
32 IBU	",Baba Black Lager,Lager - Schwarzbier,Uinta Brewing Company,1296.0,67.0,31083.0
450,4.7%,79.0,3.49,,Xingu Black Beer,Lager - Schwarzbier,Cervejaria Kaiser,1418.0,184.0,46723.0
451,4.9%,79.0,3.47,"Germans call it a schwarzbier (black beer), but Shiner fans know this one as Shiner 97. Unusually smooth for a dark beer, our Bohemian black lager is brewed with roasted malts and Czech Saaz and Styrian hops. All else pales in comparison.	",Shiner Bohemian Black Lager,Lager - Schwarzbier,Spoetzl Brewery,1543.0,187.0,47039.0
453,4.8%,88.0,3.92,"First-class, refined ingredients, the unique recipe and a passionate brewing tradition that you can taste: Köstritzer Schwarzbier stands for pleasure in perfection. It is the unique roasting of malting barley to the finest roasted malt, which gives Köstritzer Schwarzbier its unique malt aroma and unmatched character.,
,
The market leader in the segment of bottom-fermented, dark beers presents itself in an elegant, bubbly manner, and promises a special kind of beer experience at first sight with its strong color and pronounced foam crown.,
,
Taste the difference and enjoy Germany's most popular black beer.	",Schwarzbier,Lager - Schwarzbier,Köstritzer Schwarzbierbrauerei GmbH & Co.,2114.0,15.0,12430.0
454,4.9%,84.0,3.73,"Literally translated as “black beer,” schwarzbiers are one of the oldest and most traditional German beer styles. Dating back to around 800 BC, this dark, roasty beer combines caramel and chocolate malt notes with a bright flavor and crisp finish.	",Samuel Adams Black Lager,Lager - Schwarzbier,Boston Beer Company (Samuel Adams),2708.0,91.0,35706.0
455,5.2%,83.0,3.74,,Vienna Lager,Lager - Vienna,Community Beer Company,63.0,40.0,33226.0
457,4.5%,73.0,3.0,"Trailhead is a Vienna-style lager which is characterized by a careful balance of malt sweetness and clean, crisp hop bitterness.	",Trailhead,Lager - Vienna,Wellington County Brewery,64.0,212.0,48811.0
459,5.3%,84.0,3.77,,Vienna Style Lager,Lager - Vienna,Double Nickel Brewing Company,65.0,33.0,30675.0
461,4.6%,73.0,2.99,,Tuborg Classic,Lager - Vienna,Tuborgs Bryggerier A/S,67.0,213.0,48861.0
462,5.6%,80.0,3.47,,P.J.W. Copper Lager,Lager - Vienna,Victory Brewing Company - Downingtown,70.0,154.0,45361.0
463,5.4%,82.0,3.62,"When summer days have got you beat, reach for a Rally Can of Indians Lager. Brewed in the Vienna Style, Indians Lager features a balanced malt flavor that finishes crisp, thanks to the addition of German Noble hops.	",Indians Lager,Lager - Vienna,Sun King Brewing Company,71.0,91.0,41054.0
465,5.6%,85.0,3.86,"Westfalia packs rich, caramel flavors into a rounded, mahogany body through a colorful blend of creamy malts. Traditionally fermented at cooler temperatures, Westfalia’s rotbier style showcases a layered malt profile that creates a smooth, satisfying mouthfeel, perfect for any meal or enjoyed on its own. Inspired by a trip to Nuremberg, Germany, Westfalia imports an exemplary red ale to audiences closer to home.	",Westfalia,Lager - Vienna,Fort Point Beer Company,73.0,13.0,22031.0
467,4.9%,74.0,3.11,,Fat Cat Lager,Lager - Vienna,The Fat Cat Beer Company,74.0,209.0,48546.0
469,5.8%,77.0,3.3,"A malty, aromatic and hoppy mixture. Copper colored, this beer is medium bodied and full of flavor. Vienna Style.	",Red Stallion,Lager - Vienna,Crescent City Brewhouse,75.0,198.0,47578.0
471,5.1%,78.0,3.37,,Dockside Amber Lager,Lager - Vienna,Wagner Valley Brewing Co.,77.0,191.0,46904.0
472,5.5%,76.0,3.23,"Brisk flavor, rich ruby color, and extra crisp finish create a sensation that will ripple the taste buds of the most discerning palate. This medium bodied lager is brewed with a blend of the finest hops and gently roasted malts.	",Vienna-Style Amber Lager,Lager - Vienna,Tommyknocker Brewery,84.0,204.0,48135.0
474,5%,69.0,2.8,"A mainstream lager with a moderate hop character and slightly sweet, fruity, refreshing aroma and taste.	",Molson OV (Old Vienna),Lager - Vienna,Molson Coors Canada,92.0,218.0,49366.0
476,4.4%,81.0,3.59,"A European amber lager, medium-bodied with a delicate malt aroma, slight sweetness and a clean, crisp finish.,
,
22 IBU	",Vienna Red Lager,Lager - Vienna,Iron Hill Brewery & Restaurant,93.0,110.0,42823.0
478,6.4%,79.0,3.47,,Left Coast Una Mas Amber Lager,Lager - Vienna,Left Coast Brewing Company,98.0,161.0,45844.0
479,4.9%,80.0,3.48,"Also known as Shiner 98 Bavarian Style Amber, Shiner Brew's Pride Selection Limited Edition Craft Brew, and Brewer's Pride Craft Brew No. 8.,
,
This Bavarian style Amber combines roasted Munich malts and rich German hops. ,
,
30 IBU	",Shiner Bavarian Style Amber,Lager - Vienna,Spoetzl Brewery,103.0,155.0,45732.0
481,5%,83.0,3.69,"Danish Style Red Lager (Dansk Red) is inspired by the red lagers of Denmark and the signature red color in the Danish flag. This quality beer is crafted with a blend of European base and sweet caramel malt, creating a beautiful red hue.	",Danish Red Lager,Lager - Vienna,Figueroa Mountain Brewing Co.,116.0,53.0,37825.0
482,5.9%,79.0,3.45,,Saranac Winter Lager,Lager - Vienna,Matt Brewing Company / Saranac Brewery,122.0,168.0,46390.0
483,5.5%,79.0,3.42,Bohemia Oscura is a Vienna type beer. It offers the perfect balance of caramel and toasted malts that give off notes from walnut and coffee.	,Bohemia Oscura,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",125.0,182.0,46834.0
484,5.2%,84.0,3.76,"Formerly Sublime Mexican Lager (40oz. To Freedom),
,
""The band members are all big fans of this style of beer. We wanted to create our thirst-quenching version of a traditional Vienna-style lager (famously brewed by the Mexican breweries) that showcases a grainy, malt-forward sweetness and easy drinkability. Clean and crisp with subdued hop bitterness to balance, makes Sublime Mexican Lager the go-to beer for hot summer days or pre-concert tailgating."" -- AleSmith owner/CEO, Peter Zien	",Sublime Mexican Lager,Lager - Vienna,AleSmith Brewing Company,128.0,26.0,31816.0
485,4.6%,76.0,3.25,,Ybor Gold Amber Lager,Lager - Vienna,Florida Beer Company,131.0,205.0,48311.0
487,5%,75.0,3.22,Also known as Menabrea 150° Anniversario Amber	,Menabrea Ambrata,Lager - Vienna,Birra Menabrea SpA,131.0,207.0,48435.0
489,6%,84.0,3.78,"Joe, our Brew Master, went to Munich for a few days of inspiration for this Vienna style beer. He came back 3 weeks later, a little cloudy but focused on nailing this now popular brew.,
,
MALT:	Vienna, 2 Row, Carafoam, Dark Wheat, Melanoidin,
HOPS:	Hallertau,
,
22 IBU	",Oktoberfest,Lager - Vienna,Hinterland Brewery Restaurant,139.0,21.0,29628.0
491,,73.0,3.07,,Wild Hop Organic Amber Lager,Lager - Vienna,Green Valley Brewing Company (Crooked Creek),143.0,214.0,49003.0
492,4.6%,81.0,3.57,"Lakewood is more than a place. It's a state of mind. Old blends with new. Traditions hook up with fresh ideas. It's the same with our Lakewood Lager. We've taken old world Vienna-Style lager and reintroduced it to beer lovers. Subtle caramel aromas, a coppery pour and a light malty sweetness paired with noble hop bitterness set this beer apart. In with the old, in with the new.	",Lager,Lager - Vienna,Lakewood Brewing Company,145.0,119.0,44063.0
494,5%,77.0,3.31,"Note: New recipe from 2008, gravity went down from 16° to 12°, alcohol from 7.3% to 5%	",Mac Queen's Nessie,Lager - Vienna,Brauerei Schloss Eggenberg,158.0,200.0,48062.0
496,6%,76.0,3.29,"Pietra, the chestnut beer,
Beer of the land and nature,
,
PIETRA is a specialty beer, of low fermentation.,
,
Using traditional methods it is brewed from selected malts and chestnut flour.,
,
The chestnuts used come from the most beautiful and highest chestnut grove in Europe, located in the Castagniccia, at an altitude of over 1,000 meters.,
,
Every autumn the fruit is hand-picked, transported down the hill on donkeys and sorted by hand. This guarantees flour of a very high quality, from a totally natural environment.,
,
Highly fermentable, chestnut flour has an excellent impact on the quality of the head and gives beer its beautiful coloring. Mixed into the malt during the mashing process, the chestnut flour is a prime ingredient and not just a flavoring.,
,
This recipe, unique in the world, gives PIETRA its conflicting taste accentuating a lingering subtle bitterness.,
,
Powerful and delicate, robust and smooth, Pietra has a 6% alcohol content. It displays a beautiful amber color, an intense chestnut head, dense and creamy, making the pleasure of tasting it all the more enjoyable.	",Pietra (Amber),Lager - Vienna,Brasserie Pietra,162.0,202.0,48199.0
498,5.1%,74.0,3.14,,Sunshine State FL-Lager.,Lager - Vienna,Florida Beer Company,163.0,211.0,48835.0
500,6.5%,76.0,3.29,"Elegant, bright, amber beer. Aromas of roasted malt with soft notes of caramel and coffee. Water from the city of A Coruña, two-stroke malts (Pilsen and toast), corn, and hops Perle Hallertau. Selected yeast from Hijos of Rivera. Hops with slight floral and herbal nuances on the nose. Roasted taste predominates on the palate, with the hint of a pleasant, well-integrated warmth with each drink. Made from a specific wort in the exclusive production centre, Hijos de Rivera in A Coruña. It has one of the longest ageing periods among national lagers.	",1906 Reserva Especial,Lager - Vienna,"Hijos De Rivera, S.A.",166.0,203.0,48209.0
501,4.9%,84.0,3.73,"Pennsylvania breweries are known for world-class lagers, and this 2013 Great American Beer Fest Gold Medal winning Vienna-style, no fuss amber lager is clean, crisp, and brewed with Munich, and Vienna malts that give it a touch of malt backbone and toast-like character. Hopped exclusively with German Tettnanger hops, it’s got enough hop bitterness to counter that malt backbone as well. Lagered for six-weeks, Churchville Lager comes in at 4.9% ABV, and is the perfect beer for a night out with friends, and family, or the holiday BBQ. Don’t be afraid to order the new ‘Lager’ in town.	",Churchville Lager,Lager - Vienna,Neshaminy Creek Brewing Company,175.0,35.0,34939.0
503,4.8%,84.0,3.76,"Formerly Snake River Lager,
,
Snake River Lager is our most popular beer. This is an amber colored Vienna style lager. The rich, caramel flavor is balanced with the use of several hop varieties for a subtle hop note. An authentic German lager yeast strain adds to the true flavor of this beer. The malt forward profile of Snake River Lager makes it a fine complement to pizzas and red meat.	",Jenny Lake Lager,Lager - Vienna,Snake River Brewing Company & Brewpub,186.0,24.0,31990.0
505,5.25%,78.0,3.41,"The Raven Special Lager is a perfect balanced lager beer that goes well with any kind of food, but particularly with spicy food or when you just want to sit down and enjoy a beer with friends. With a shot of Woodford Reserve chased with chilled Raven is a near perfect combination. The rich golden colored beer is an exceptionally smooth Southern German lager, somewhat malty but well balanced between the hops and malt. Experiencing the clean finish and pleasant lingering aftertaste of The Raven Special Lager, one can truly say that The Taste Is Poetic.,
,
18 IBU	",The Raven Special Lager,Lager - Vienna,B.W. Beer Works USA,201.0,190.0,47313.0
507,5.2%,79.0,3.45,"The #1 best selling local craft beer in Buffalo. Medium bodied Vienna-style amber beer with soft, nutty malt flavors and just enough German hops for balance. “Chain” goes great with chicken, pizza, grilled vegetables… pretty much everything now that we think about it.,
,
Available year round on draft, in bottles, and cans all across WNY.,
MALTS: Pilsner, Vienna, Caramel,
HOPS: Magnum, Tettnang,
20 IBU	",Rusty Chain,Lager - Vienna,Flying Bison Brewing Company,216.0,172.0,46813.0
509,5.8%,85.0,3.81,"If malt and hops are the two poles of brewing, this beer is the gently spinning sweet spot between them. First, you’ll notice the spicy aromas of Vanguard and Liberty hops. Then - wipe the foam off the tip of your nose - dive into the toasty flavor of Vienna malt. Dynamo starts strong and finishes crisp and smooth. The balanced flavors, aromas, and even the coppery-red tones of this beer go great with everything. Fear no pairing. The best time to enjoy Dynamo is when you’re thirsty.,
,
29 IBU	",Dynamo Copper Lager,Lager - Vienna,Metropolitan Brewing,242.0,11.0,26081.0
510,5.4%,80.0,3.51,"Formerly Cutlass (Amber Lager),
,
This malty lager is our most award-winning beer: it took gold, silver, and bronze medals at the Great American Beer Festival from 2006 to 2010. Cutlass Amber has a toasted, biscuity character. The slight sweetness comes from Crystal malt. Vienna malt contributes a remarkable smoothness and Munich malt gives an amber color and delicate aroma. Tettnang hops infuse the beer with a slight earthiness. Formerly named Heavy Seas Märzen, Cutlass Amber is our second best-selling beer. In 2012, Cutlass Amber won a silver medal at the World Beer Cup in the Vienna Lager category.	",Cutlass Vienna-Style Lager,Lager - Vienna,Heavy Seas Beer,243.0,149.0,45905.0
511,5.3%,80.0,3.5,,Saranac Season's Best - Nut Brown Lager,Lager - Vienna,Matt Brewing Company / Saranac Brewery,257.0,152.0,46122.0
513,4.9%,84.0,3.74,,Big Bark Amber Lager,Lager - Vienna,Live Oak Brewing Company,261.0,29.0,34246.0
515,4.9%,82.0,3.63,"The name Schild Brau means essentially 'Schild Beer' in German. This is our flagship brew, a microbrew done in the style of the special beers of Munich. This beer is brewed in the style of a Vienna Lager.,
,
Our beer uses these same malts to attain a perfect balance between malty sweetness and a firm bitterness.,
,
16 IBU	",Schild Brau Amber,Lager - Vienna,Millstream Brewing Company,263.0,81.0,42332.0
516,4.1%,75.0,3.24,,Indio,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",322.0,208.0,48638.0
518,5.2%,86.0,3.83,"Named for the city that created the style, our amber lager is malt,
forward with a grassy, crackery hop aroma. A classic blend of German malts and hops gives this complex lager notes of biscuit and caramel in its finish.	",Vienna Style Lager,Lager - Vienna,von Trapp Brewing,332.0,9.0,23501.0
519,5%,82.0,3.63,"A delicate balance of toasted malt and fresh hops give this medium-bodied German-style lager an intriguing, complex malt flavor. A creamy head, deep golden color and an impressive hop bouquet make this a very special beer.	",Special Amber,Lager - Vienna,Sprecher Brewing Company,374.0,78.0,42552.0
520,4%,83.0,3.7,"Formerly Cyclhops / Beerito,
,
Beerito (4% ABV, 21 IBUs) is a light bodied, amber Mexican lager brewed with premium German and coloRADo sourced craft malts and featuring a crisp accent from noble hops. The mouth feel is incredibly smooth with flavors of walnut, toasted bread, plum, honey and cocoa - 4% ABV doesn't always come with this kind of character.	",Beerito,Lager - Vienna,Oskar Blues Grill & Brew,451.0,43.0,38123.0
522,5%,82.0,3.64,"Our flagship brand! An amber Vienna-style lager beer that is smooth, mellow and full bodied, with delicate hop aroma. Uses two-row barley malt and caramel-roasted malt. Based on founder Tom Pastorius' favorite German bier.	",Penn Pilsner,Lager - Vienna,Pennsylvania Brewing Company,473.0,71.0,42174.0
524,5%,84.0,3.73,"FireBrick was introduced in 1999, and is named after the bricks that line Schell's old boilers. It is the culmination of an effort to bridge the gap between the ""popular-tasting"" beers and the heartier, hand-crafted ones.,
FireBrick is a refreshing all-malt lager with an amber-red hue that reflects the feeling of the brewery itself.,
,
It has been described by Ted Marti as having a ""subtle maltiness combined with a hint of hoppy taste that creates a mild, pleasantly drinkable beer."" It is made with four specialty malts, along with Vanguard, Chinook and Hallertau hops.	",Schell's FireBrick,Lager - Vienna,August Schell Brewing Company,518.0,30.0,35446.0
526,4%,69.0,2.97,,Victoria,Lager - Vienna,Grupo Modelo S.A. de C.V.,870.0,217.0,49427.0
528,4.9%,72.0,3.12,,Red Lager,Lager - Vienna,Jacob Leinenkugel Brewing Company,883.0,216.0,49145.0
529,5.3%,85.0,3.8,"Vienna-style beers are among the world’s first light-colored lagers and were on the brink of extinction until American craft brewers helped revive the style; it’s a good thing they did. These delicate and extremely balanced amber beers rely on semi-sweet and bready malt flavors but walk a fine line with both malt and hop character shouldering equal weight. Our take on the style features whole-cone European hops, which add to the dry finish.	",Vienna Style Lager,Lager - Vienna,Sierra Nevada Brewing Co.,927.0,10.0,27124.0
530,5.2%,85.0,3.76,"Vienna-Style Lager.,
,
This is our Ol’ Faithful. No, it’s not a geothermal phenomenon. It’s the beer everybody, including professional beer judges, just seems to dig. Maybe they like how it’s smooth, medium-bodied, and semi-sweet, while not too heavy or bitter. Maybe it’s the amber color, or the blend of four imported malts balanced by two Germanic hops, or the fact that it takes five weeks to get right. Or maybe it’s all the above.,
,
Malts: Vienna, Pilsner, Dark Munich, CaraAmber,
Hops: Northern Brewer, Saaz,
IBU: 18,
COLOR: Amber	",Vienna Lager,Lager - Vienna,Devils Backbone Brewing Company,1094.0,18.0,32270.0
532,4.7%,72.0,3.14,"Dos Equis Ambar (Amber) is a vienna style lager that was originally brewed by the German-born Mexican brewer Wilhelm Hasse in 1897.,
,
The brand was named ""Siglo XX"" (""20th century"") to commemorate the arrival of the new century, and the bottles were marked with the Roman numerals ""XX"", or ""Dos Equis"" (two X).	",Dos Equis Ambar,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",3096.0,215.0,49134.0
533,6.1%,91.0,4.09,"An amber lager with rich, fragrant malt flavors balanced by crisp noble hops.	",Eliot Ness,Lager - Vienna,Great Lakes Brewing Co.,3399.0,1.0,3663.0
534,5%,85.0,3.76," Four Ingredients. Painstakingly Chosen. Every year, we travel to Bavaria to hand-select Hallertau Mittelfrüh hops, and the high American plains for the finest two-row summer barley. We cultivate our own lager yeast and I personally sample every batch. All our hard work goes into brewing this distinctly flavorful and complex beer for you. Cheers!	",Samuel Adams Boston Lager,Lager - Vienna,Boston Beer Company (Samuel Adams),9729.0,17.0,32340.0
535,8.4%,,3.97,,Prize Fighter of Hell Creek,Bière de Champagne / Bière Brut,Staggeringly Good,2.0,,
537,3.39%,,4.0,"Collaboration with Blackberry Farm Brewery,
,
This Grisette-style beer was crafted with foraged sumac and mixed cultures from both breweries. After primary fermentation, it was moved over to one of our horizontal tanks to age. The result is a complex blend of sour, earthy and acidic.,
,
Created in partnership with Blackberry Farm Brewery (Walland, TN) as part of our Friendship Brew project.	",Rhus,Bière de Champagne / Bière Brut,Birds Fly South Ale Project,2.0,,
538,7%,,4.0,,In Safe Keeping,Bière de Champagne / Bière Brut,Hardywood Park Craft Brewery,2.0,,
540,10.5%,,4.1,"Brewed around our first anniversary, this joyful and festive biere de champagne has been bottle-conditioning for nearly eight months. Blended with our house sour culture, it has big, joyful bubbles and a mischievous spirit. Hushed tones of peach, pear, and citrus lend harmony and symmetry to its ultra-dry finish. We have waited so long to share this beer with you; what a wonderful gift that it is finally ready, at just the right time of year. We hope these special bottles help you celebrate all the season has to offer.	",Larkspur,Bière de Champagne / Bière Brut,Brewery Bhavana,2.0,,
541,4.3%,,3.76,,Bretted Bitter,Bière de Champagne / Bière Brut,Cloudwater Brew Co.,2.0,,
543,8.5%,,3.43,,Coco d'Or,Bière de Champagne / Bière Brut,SchwarzwaldGold Braumanufaktur,2.0,,
544,11.5%,,3.56,,Queen City Brut,Bière de Champagne / Bière Brut,Barrel + Beam,2.0,,
546,12.1%,,4.52,,Brut La Grande,Bière de Champagne / Bière Brut,Bruz Beers,2.0,,
548,13.5%,,3.91,,Brut Force,Bière de Champagne / Bière Brut,Ahnapee Brewery,2.0,,
549,,,4.2,,Feral Brut,Bière de Champagne / Bière Brut,Firestone Walker Brewing Co.,2.0,,
551,6.8%,,4.11,,Kveik Brut,Bière de Champagne / Bière Brut,Fossil Craft Beer Company,2.0,,
553,4.6%,,3.65,,Barn Teaser,Bière de Champagne / Bière Brut,Tired Hands Brewing Company,2.0,,
555,6%,,4.25,,Bière Brut,Bière de Champagne / Bière Brut,Cloudwater Brew Co.,2.0,,
557,11.5%,,4.32,,Double Vienna Brut,Bière de Champagne / Bière Brut,Morada Cia Etílica,2.0,,
559,4.6%,,4.05,,Tiny Bubbles,Bière de Champagne / Bière Brut,The Lost Abbey,3.0,,
561,6.6%,,4.74,,Drone Witch,Bière de Champagne / Bière Brut,Heirloom Rustic Ales,3.0,,
563,11.5%,,3.67,Aged in French oak with Brettanomyces Claussenii and blackberries.	,Blackberry Brut,Bière de Champagne / Bière Brut,Barrel + Beam,3.0,,
565,9.7%,,3.75,,Chambrew,Bière de Champagne / Bière Brut,Jaks Brewing Co.,3.0,,
567,11%,,4.16,,Wäls Brut,Bière de Champagne / Bière Brut,Cervejaria Wäls,4.0,,
569,5.4%,,3.92,,Salut!,Bière de Champagne / Bière Brut,Old Bisbee Brewing Company,4.0,,
570,8%,,2.87,"Yeast: Main fermentation with low yeast and lactic acid bacteria. Fermentation with champagne yeast. Re-fermentation in the bottle.,
Hop: Saaz,
Malt: Pils (barley) and wheat malt (barley), oat flakes, and artisan raspberry juice	",Ferme Framboos,Bière de Champagne / Bière Brut,Brouwerij De Vlier,4.0,,
571,5%,,2.7,,Kasteel Cru Rose,Bière de Champagne / Bière Brut,Brasserie Licorne,4.0,,
572,11%,,3.95,,Malheur Extra Brut,Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,4.0,,
574,8%,,3.35,,Brut,Bière de Champagne / Bière Brut,Brouwerij De Vlier,5.0,,
576,8%,,3.84,,Brasserie Lion 8,Bière de Champagne / Bière Brut,Brasserie Lion,6.0,,
577,11.5%,,4.09,,Eisenbahn Lust Prestige,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,6.0,,
579,7%,,3.58,Introducing BAMAMOSA! A handmade Brut Ale made with orange juice to create the perfect balance of juicy citrus and an exceptionally dry finish. A refreshingly crisp beer that can be enjoyed in almost any setting. No champagne glass required.	,BamaMosa,Bière de Champagne / Bière Brut,Back Forty Beer Co.,6.0,,
580,7.7%,,3.65,"Buzzerkeley Red Label is the sociability of beer and the sophistication of wine. Fresh-pressed Napa and Sonoma red wine pomace give depth to the effervescence of Sparkling Ale (a.k.a. beer fermented with wine yeast). Boysenberry, dark cocoa, and rye spice shine through layered tannin structure. Fruit-forward and dry, this ale blurs the line between beer and wine.	",Buzzerkeley Red Label,Bière de Champagne / Bière Brut,Calicraft Brewing Co.,7.0,,
582,6.75%,,4.22,"The perfect drink for fans of wine as well as beer! We have brewed a dry base beer with 100% Pilsen malt, then blended that with sauvignon blanc grape must and peach puree and fermented the whole concoction with champagne yeast! The result is a dry, delicate blend of two worlds coming together as one. It's just good.	",Peach Bellini,Bière de Champagne / Bière Brut,Central Waters Brewing Co.,7.0,,
584,10.5%,,4.12,,Brew Secco,Bière de Champagne / Bière Brut,Handbrauerei Gerhard Forstner,8.0,,
586,5%,87.0,4.04,"TWith addition of champagne style yeast, this beer ferments and ages for several weeks in bottles. It is an excellent welcome drink, aperitif, and/or beverage accompanying a dessert. It has been produced in cooperation with the brewery in the city of Strakonice (South Bohemia).	",Šamp - Pivní Sekt,Bière de Champagne / Bière Brut,Pivovarský dům,10.0,10.0,49963.0
588,12%,88.0,4.18,Biere de Champagne (oak aged farmhouse ale with Michigan grapes)	,Shamps,Bière de Champagne / Bière Brut,Transient Artisan Ales,11.0,8.0,15684.0
589,5.3%,86.0,3.86,,Prost Secco,Bière de Champagne / Bière Brut,Baxter Brewing Co.,12.0,15.0,26708.0
591,8.5%,88.0,4.15,,Buzzerkeley Barrel Project - Dry Creek Zinfandel,Bière de Champagne / Bière Brut,Calicraft Brewing Co.,13.0,7.0,15193.0
593,8.2%,86.0,3.86,,Panil Enhanced (Final),Bière de Champagne / Bière Brut,Panil,13.0,14.0,26499.0
595,5.5%,85.0,3.74,,Insel Kreide,Bière de Champagne / Bière Brut,Rügener Insel Brauerei GmbH,15.0,16.0,31521.0
597,10.5%,87.0,3.93,Biere Brut Brewed with Niagara grapes and hibiscus	,Sparkling Rose Ale,Bière de Champagne / Bière Brut,Forbidden Root - Chicago,20.0,11.0,21596.0
599,8.9%,83.0,3.49,,Kortrijk-dUtsel,Bière de Champagne / Bière Brut,Brouwerij Kortrijk-Dutsel,22.0,18.0,41711.0
601,6.5%,89.0,4.15,"BOBASA is a blend of barrel-aged smoked ales. Young, smoked Bière de Garde is blended with 1- and 2-year-old vintages aged in white wine barrels	",Bobasa,Bière de Champagne / Bière Brut,Oxbow Brewing Company,24.0,6.0,10211.0
603,5.2%,76.0,2.92,Brand website: http://www.kasteelcru.com	,Kasteel Cru,Bière de Champagne / Bière Brut,Brasserie Licorne,32.0,20.0,48378.0
605,6%,83.0,3.57,,Belle,Bière de Champagne / Bière Brut,Devil's Canyon Brewing Company,42.0,17.0,41698.0
607,11.5%,86.0,3.85,,Eisenbahn Lust,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,42.0,13.0,24214.0
608,12%,87.0,3.88,"HOPS: German Blanc,
MALTS: Pilsner,
ADDITIONS: Primary: Saison, Secondary: Sparkling Wine,
FLAVOR: Pours golden yellow/orange, with a nice white head. Immediate aromas of pear, green apple, white grape, and spice , with hints of a floral presence. Flavor/mouthfeel is lively and intense with flavors of orange peel, spice, cloves and pear (will be highly carbonated). Finish is dry, crisp and warming.",Jubilee,Bière de Champagne / Bière Brut,Victory Brewing Company - Downingtown,53.0,12.0,21065.0
